category,name,old_store,new_store,store_delta,old_del,new_del,note
* กาแฟสดนมนุ่มละมุน,กาแฟสด โอวัลตินช็อตกาแฟ เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดนมนุ่มละมุน,ช็อกโกแลตมิลค์ เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดนมนุ่มละมุน,กาแฟสด ช็อกโกแลตเอสเปรสโซ่ เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดนมนุ่มละมุน,กาแฟสด คาราเมลมัคคิอาโต้ เย็น 16 ออนซ์,,,,,,not in live
* กาแฟสดนมนุ่มละมุน,กาแฟสด แฟลตไวท์ เย็น 16 ออนซ์,35,39,4,,58,
* กาแฟสดนมนุ่มละมุน,กาแฟสด มอคค่า เย็น 16 ออนซ์,35,39,4,,58,
* กาแฟสดนมนุ่มละมุน,กาแฟสด คาปูชิโน่ เย็น 16 ออนซ์,35,39,4,,58,
* กาแฟสดนมนุ่มละมุน,กาแฟสด ลาเต้ เย็น 16 ออนซ์,35,39,4,,58,
* กาแฟสดเข้มข้น,กาแฟสด โอเลี้ยงเฮเซลนัท เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดเข้มข้น,กาแฟสด กาแฟโบราณ เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดเข้มข้น,กาแฟสด โอเลี้ยง เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดเข้มข้น,กาแฟสด ลองแบล็ค เย็น 16 ออนซ์,29,35,6,,52,
* กาแฟสดเข้มข้น,กาแฟสด เอสเปรสโซ่ เย็น 16 ออนซ์,35,39,4,,58,
* กาแฟสดเข้มข้น,กาแฟสด อเมริกาโน่ เย็น 16 ออนซ์,29,35,6,,52,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาพีช,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาพีช,19,25,6,,37,
"เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)",น้ำเต้าหู้โกโก้ (เย็น/ปั่น),24,29,5,,43,
"เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)",น้ำเต้าหู้เผือก (เย็น/ปั่น),34,39,5,,58,
"เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)",น้ำเต้าหู้โอวัลติน (เย็น/ปั่น),24,29,5,,43,
"เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)",น้ำเต้าหู้นมสด (เย็น/ปั่น),24,29,5,,43,
"เบาเบากับน้ำเต้าหู้ (เย็น, ปั่น)",น้ำเต้าหู้สูตรดั้งเดิม (เย็น/ปั่น),24,29,5,,43,
น้ำเปล่า,น้ำเปล่า,10,12,2,,18,
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) มะม่วง แก้วใหญ่ 22 ออนซ์,54,59,5,,87,
ผลไม้ปั่น & สมูทตี้,มะม่วงปั่น แก้วใหญ่ 22 ออนซ์,34,39,5,,58,
เบเกอรี่ & ไอศครีม,มันไทยอบ ดั้งเดิม,,,,,,not in live
"นม (เย็น, ปั่น)",นมสดไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),44,49,5,,73,
มัจฉะแท้,มัทฉะบราวน์ชูการ์ไข่มุก (Matcha Brown Sugar Boba),45,49,4,,73,
ทัอปปิ้ง,ไข่มุก,5,7,2,,11,
"Signature Drinks (เย็น, ปั่น)",ชานมไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),39,45,6,,67,
"Signature Drinks (เย็น, ปั่น)",ชานมไข่มุก (เย็น/ปั่น),24,29,5,,43,
ทัอปปิ้ง,บุกบราวน์ชูการ์,10,12,2,,18,
เบเกอรี่ & ไอศครีม,ซอฟต์คุกกี้ โฮมเมด (เลือกได้),15,17,2,,26,
"Signature Drinks (เย็น, ปั่น)",โกโก้ (เย็น/ปั่น),24,29,5,,43,
"Signature Drinks (เย็น, ปั่น)",โกโก้มิ้นต์ (เย็น/ปั่น),34,39,5,,58,
ทัอปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,15,17,2,,26,
ทัอปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,9,12,3,,18,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชามะลิ,19,25,6,,37,
เบเกอรี่ & ไอศครีม,ปังเนยกรอบอบไอน้ำ,19,25,6,,37,
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) มันม่วง แก้วใหญ่ 22 ออนซ์,49,55,6,,82,
ผลไม้ปั่น & สมูทตี้,(สมูทตี้) ส้ม แก้วใหญ่ 22 ออนซ์,49,55,6,,82,
ผลไม้ปั่น & สมูทตี้,ส้มปั่น แก้วใหญ่ 22 ออนซ์,34,39,5,,58,
ทัอปปิ้ง,ครีมซีส,20,25,5,,37,
ทัอปปิ้ง,บุกน้ำตาล,10,12,2,,18,
ทัอปปิ้ง,เจลลี่ผลไม้,5,7,2,,11,
ทัอปปิ้ง,บุกน้ำผึ้ง,10,12,2,,18,
ทัอปปิ้ง,ซอสบราวน์ชูการ์,15,17,2,,26,
"Signature Drinks (เย็น, ปั่น)",ชาเขียวนม (เย็น/ปั่น),24,29,5,,43,
"Signature Drinks (เย็น, ปั่น)",ชานมชีส (เย็น/ปั่น),39,45,6,,67,
ชา,ชาดำเย็น,19,25,6,,37,
ชา,ชาบลูเบอร์รี่,19,25,6,,37,
ชา,ชาแอปเปิ้ล,19,25,6,,37,
ชา,ชาลิ้นจี่,19,25,6,,37,
ชา,ชามะนาว,24,29,5,,43,
ชา,ชาเขียวมะลิ,19,25,6,,37,
ชา,ชาเสาวรส,19,25,6,,37,
"ชานม (เย็น, ปั่น)",ชาไทย (เย็น/ปั่น),24,29,5,,43,
"ชานม (เย็น, ปั่น)",ชานมใต้หวัน (เย็น/ปั่น),19,25,6,,37,
"ชานม (เย็น, ปั่น)",ชานมเผือก (เย็น/ปั่น),29,35,6,,52,
"ชานม (เย็น, ปั่น)",ชานมคาราเมล (เย็น/ปั่น),29,35,6,,52,
"ชานม (เย็น, ปั่น)",ชานมมิ้นต์ (เย็น/ปั่น),29,35,6,,52,
"ชานม (เย็น, ปั่น)",ชานมกาแฟ (เย็น/ปั่น),24,29,5,,43,
"ชานม (เย็น, ปั่น)",ชานมเฮเซลนัท (เย็น/ปั่น),29,35,6,,52,
"กาแฟ (เย็น, ปั่น)",โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),24,29,5,,43,
"กาแฟ (เย็น, ปั่น)",โกปี๊อ้อ (โอเลี้ยง) (เย็น/ปั่น),19,25,6,,37,
"กาแฟ (เย็น, ปั่น)",ลาเต้ (เย็น/ปั่น),29,35,6,,52,
"กาแฟ (เย็น, ปั่น)",มอคค่า (เย็น/ปั่น),29,35,6,,52,
"กาแฟ (เย็น, ปั่น)",โกปี๊ โบราณ (เย็น/ปั่น),24,29,5,,43,
"กาแฟ (เย็น, ปั่น)",เนสกาแฟ (เย็น/ปั่น),24,29,5,,43,
"นม (เย็น, ปั่น)",โอวัลติน (เย็น/ปั่น),24,29,5,,43,
"นม (เย็น, ปั่น)",ไมโล (เย็น/ปั่น),24,29,5,,43,
"นม (เย็น, ปั่น)",นมสดเย็น (เย็น/ปั่น),24,29,5,,43,
"นม (เย็น, ปั่น)",นมสดน้ำผึ้ง (เย็น/ปั่น),34,39,5,,58,
"นม (เย็น, ปั่น)",นมมรกต (เย็น/ปั่น),29,35,6,,52,
"นม (เย็น, ปั่น)",นมสดเฮเซลนัท (เย็น/ปั่น),34,39,5,,58,
"นม (เย็น, ปั่น)",นมสดเผือก (เย็น/ปั่น),34,39,5,,58,
"นม (เย็น, ปั่น)",นมชมพู (เย็น/ปั่น),29,35,6,,52,
"นม (เย็น, ปั่น)",นมสดคาราเมล (เย็น/ปั่น),34,39,5,,58,
"นม (เย็น, ปั่น)",นมสดมิ้นต์ (เย็น/ปั่น),34,39,5,,58,
อิตาเลียน โซดา,แดงโซดา,19,25,6,,37,
อิตาเลียน โซดา,เขียวโซดา,19,25,6,,37,
อิตาเลียน โซดา,บ๊วยโซดา,24,29,5,,43,
อิตาเลียน โซดา,แอปเปิ้ลโซดา,19,25,6,,37,
อิตาเลียน โซดา,บลูเบอร์รี่โซดา,19,25,6,,37,
อิตาเลียน โซดา,เขียวมะนาวโซดา,29,35,6,,52,
อิตาเลียน โซดา,บลูฮาวายโซดา,19,25,6,,37,
อิตาเลียน โซดา,ลิ้นจี่โซดา,19,25,6,,37,
อิตาเลียน โซดา,มะนาวโซดา,24,29,5,,43,
อิตาเลียน โซดา,น้ำผึ้งมะนาวโซดา,29,35,6,,52,
อิตาเลียน โซดา,แดงมะนาวโซดา,29,35,6,,52,
อิตาเลียน โซดา,เสาวรสโซดา,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาสละ,19,25,6,,37,
"นม (เย็น, ปั่น)",นมสดมันม่วง,39,45,6,,67,
"ชานม (เย็น, ปั่น)",ชาไทยมันม่วง,39,45,6,,67,
"ชานม (เย็น, ปั่น)",ชานมมันม่วง,39,45,6,,67,
"Signature Drinks (เย็น, ปั่น)",กาแฟโบราณ บราวน์ชูการ์ (เย็น/ปั่น),39,45,6,,67,
"Signature Drinks (เย็น, ปั่น)",ชาไทยชีส (เย็น/ปั่น),44,49,5,,73,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาฟรุตพันช์,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาฟรุตพันช์,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาน้ำผึ้ง,19,25,6,,37,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาน้ำผึ้ง,19,25,6,,37,
"ชานมสดคราฟต์ (เย็น, ปั่น)",ชาจัสมินฝูเจี้ยน (เย็น/ปั่น) 16 oz,,,,,,not in live
ชา,ชาอู่หลงน้ำผึ้งมะนาว,24,29,5,,43,
ชา,ชาอู่หลงน้ำผึ้ง,24,29,5,,43,
ชา,ชาอู่หลงเย็น,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาน้ำผึ้งมะนาว,19,25,6,,37,
ทัอปปิ้ง,วุ้นกบไต้หวัน,6,7,1,,11,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาองุ่น,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาองุ่น,19,25,6,,37,
มัจฉะแท้,มัทฉะเลม่อนเย็น (Matcha Lemon),35,39,4,,58,
มัจฉะแท้,มัทฉะมะพร้าวนม,45,49,4,,73,
มัจฉะแท้,มัทฉะมะพร้าว,45,49,4,,73,
มัจฉะแท้,เพียวมัทฉะ (Pure Matcha),29,35,6,,52,
มัจฉะแท้,มัทฉะลาเต้ (Matcha Latte),39,45,6,,67,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% โคล่าโซดามะนาว,19,25,6,,37,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% โคล่าโซดา,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาแคนตาลูป,19,25,6,,37,
0% แคล ชาเพื่อสุขภาพ,0% แคล ชาลิ้นจี่,19,25,6,,37,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาน้ำผึ้งมะนาว,19,25,6,,37,
ชาผลไม้,ชาพีชส้มยูสุ,49,55,6,,82,
ชาผลไม้,ชามิกซ์เบอร์รี่,39,45,6,,67,
มัจฉะแท้,มัทฉะครีมชีส (Matcha Cheese Tea),49,55,6,,82,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาแคนตาลูป,19,25,6,,37,
0% แคล โซดาซ่าเพื่อสุขภาพ,0% แคล โซดาลิ้นจี่,19,25,6,,37,
ชาผลไม้,ชาส้มยูสุ,39,45,6,,67,
ชาผลไม้,ชาพีช,39,45,6,,67,
ชาผลไม้,ชาผลไม้รวม,39,45,6,,67,
