group,option,priceDelta_store,priceDelta_delivery,source
ท้อปปิ้ง,ช็อคขูด,15,,wongnai-export-2026-07-13
โปรโมชั่น วาฟเฟิลเบลเยียมโฮมเมด ดั้งเดิม,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,10,,wongnai-export-2026-07-13
โปรโมชั่น วาฟเฟิลเบลเยียมโฮมเมด ดั้งเดิม,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
โปรโมชั่น มันไทยอบ ดั้งเดิม,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,10,,wongnai-export-2026-07-13
โปรโมชั่น มันไทยอบ ดั้งเดิม,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
ช็อตกาแฟ,เพิ่มช็อตกาแฟ 1 ช็อต,9,,wongnai-export-2026-07-13
ช็อตกาแฟ,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
ช็อตกาแฟ,เพิ่มช็อตกาแฟ 2 ช็อต,15,,wongnai-export-2026-07-13
ขนาด ปริมาณ แก้วกาแฟ,แก้วมาตรฐาน,0,,wongnai-export-2026-07-13
ขนาด ปริมาณ แก้วกาแฟ,แก้วใหญ่ 22oz เข้ม +1 ช๊อต ซีลแน่น,10,,wongnai-export-2026-07-13
ประเภท,ปั่น (สูตรเข้ม),10,,wongnai-export-2026-07-13
ประเภท,เย็น,0,,wongnai-export-2026-07-13
ช็อตมะนาว,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
ช็อตมะนาว,เพิ่ม 1 ช็อต,5,,wongnai-export-2026-07-13
โปรโมชั่น ปังเนยกรอบอบไอน้ำ,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
โปรโมชั่น ปังเนยกรอบอบไอน้ำ,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,10,,wongnai-export-2026-07-13
โปรโมชั่น ชิโอปัง,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
โปรโมชั่น ชิโอปัง,สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,15,,wongnai-export-2026-07-13
โปรโมชั่น เค้กกล้วยหอม,สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน,10,,wongnai-export-2026-07-13
โปรโมชั่น เค้กกล้วยหอม,ไม่เพิ่ม,0,,wongnai-export-2026-07-13
